company_name,city,category,rating,website,phone,employees
Company1 Solutions,Mumbai,IT Services,4.6,www.company1.in,9821827852,238
Company2 Solutions,Hyderabad,Analytics Firm,4.4,www.company2.in,9836576449,13
Company3 Solutions,Pune,IT Services,4.8,www.company3.in,9878886177,101
Company4 Solutions,Noida,Web Development,4.6,www.company4.in,9891333690,168
Company5 Solutions,Chennai,Analytics Firm,4.5,www.company5.in,9852764316,167
Company6 Solutions,Chennai,Analytics Firm,4.8,www.company6.in,9896434757,26
Company7 Solutions,Mumbai,Software Company,4.7,www.company7.in,9859534920,50
Company8 Solutions,Delhi,Advertising Agency,3.8,www.company8.in,9826955859,46
Company9 Solutions,Delhi,Digital Marketing,4.5,www.company9.in,9890824887,123
Company10 Solutions,Chennai,Digital Marketing,4.8,www.company10.in,9841557515,37
Company11 Solutions,Chennai,IT Services,4.6,www.company11.in,9840032434,188
Company12 Solutions,Hyderabad,Cloud Services,3.9,www.company12.in,9889720496,127
Company13 Solutions,Gurgaon,Digital Marketing,4.2,www.company13.in,9810365408,239
Company14 Solutions,Pune,IT Services,4.6,www.company14.in,9890320356,53
Company15 Solutions,Noida,IT Services,4.1,www.company15.in,9899423481,205
Company16 Solutions,Gurgaon,Software Company,4.8,www.company16.in,9848638839,216
Company17 Solutions,Noida,Software Company,4.8,www.company17.in,9855093957,117
Company18 Solutions,Chennai,Web Development,4.0,www.company18.in,9876002852,127
Company19 Solutions,Gurgaon,Software Company,4.8,www.company19.in,9811553138,205
Company20 Solutions,Gurgaon,Advertising Agency,4.3,www.company20.in,9880641803,122
Company21 Solutions,Delhi,Analytics Firm,4.2,www.company21.in,9879263610,247
Company22 Solutions,Pune,Digital Marketing,4.7,www.company22.in,9896122130,76
Company23 Solutions,Noida,Web Development,4.5,www.company23.in,9823202542,57
Company24 Solutions,Pune,Cloud Services,4.2,www.company24.in,9843936626,171
Company25 Solutions,Noida,Cloud Services,4.7,www.company25.in,9890739080,133
Company26 Solutions,Bangalore,Cloud Services,4.4,www.company26.in,9838320050,158
Company27 Solutions,Pune,Software Company,4.4,www.company27.in,9824419989,132
Company28 Solutions,Noida,IT Services,4.3,www.company28.in,9850000268,222
Company29 Solutions,Noida,SEO Agency,4.8,www.company29.in,9890933294,32
Company30 Solutions,Mumbai,IT Services,4.5,www.company30.in,9855598529,36
Company31 Solutions,Pune,Digital Marketing,4.5,www.company31.in,9835732468,136
Company32 Solutions,Noida,SEO Agency,4.3,www.company32.in,9813588537,97
Company33 Solutions,Delhi,Analytics Firm,4.9,www.company33.in,9832621240,108
Company34 Solutions,Hyderabad,Analytics Firm,4.7,www.company34.in,9877116345,219
Company35 Solutions,Gurgaon,Web Development,4.7,www.company35.in,9813012510,10
Company36 Solutions,Chennai,Web Development,3.9,www.company36.in,9891006667,42
Company37 Solutions,Mumbai,Digital Marketing,4.6,www.company37.in,9869297197,163
Company38 Solutions,Chennai,SEO Agency,4.1,www.company38.in,9825284120,73
Company39 Solutions,Bangalore,Cloud Services,4.2,www.company39.in,9865747348,81
Company40 Solutions,Delhi,Analytics Firm,4.1,www.company40.in,9848441623,82
Company41 Solutions,Gurgaon,Digital Marketing,4.5,www.company41.in,9896143748,81
Company42 Solutions,Mumbai,Advertising Agency,3.9,www.company42.in,9885794216,169
Company43 Solutions,Delhi,Web Development,3.8,www.company43.in,9851409615,165
Company44 Solutions,Hyderabad,Web Development,4.5,www.company44.in,9838819479,122
Company45 Solutions,Hyderabad,Digital Marketing,4.0,www.company45.in,9836873177,19
Company46 Solutions,Delhi,Digital Marketing,4.0,www.company46.in,9884125077,34
Company47 Solutions,Pune,SEO Agency,4.2,www.company47.in,9849513728,220
Company48 Solutions,Mumbai,Web Development,3.9,www.company48.in,9887985308,126
Company49 Solutions,Chennai,Advertising Agency,4.3,www.company49.in,9810885680,215
Company50 Solutions,Mumbai,SEO Agency,4.0,www.company50.in,9851817997,120
Company51 Solutions,Noida,Web Development,4.9,www.company51.in,9880799140,107
